"full_name","e","a","i","om","w","ma","per_y"
"140039 (2001 SO73)",0.5679,1.821,4.85,197.14,31.03,222.91,2.46
"140158 (2001 SX169)",0.4608,1.347,2.52,126.78,42.73,94.39,1.56
"140288 (2001 SN289)",0.5082,1.784,53.19,357.06,225.64,344.42,2.38
"141052 (2001 XR1)",0.5503,1.245,17.67,291.47,304.21,62.83,1.39
"141053 (2001 XT1)",0.5795,1.528,2.73,316.21,31.39,67.95,1.89
"141056 (2001 XV4)",0.4439,1.817,28.89,259.09,300.68,34.31,2.45
"141079 (2001 XS30)",0.8283,1.164,28.55,251.44,0.90,305.78,1.26
"141495 (2002 EZ11)",0.8021,1.114,2.35,51.88,317.78,194.78,1.18
"141525 (2002 FV5)",0.7245,1.087,34.04,38.84,308.11,251.11,1.13
"141526 (2002 FA6)",0.3223,1.014,30.10,174.67,173.39,261.01,1.02
"141527 (2002 FG7)",0.6268,1.513,9.20,187.48,247.69,82.57,1.86
"141593 (2002 HK12)",0.5287,2.002,2.35,306.98,2.25,301.23,2.83
"141614 (2002 JV15)",0.5361,1.624,7.19,200.62,127.39,269.02,2.07
"141851 (2002 PM6)",0.8501,1.198,19.13,304.00,224.53,11.09,1.31
"143404 (2003 BD44)",0.6075,1.968,2.66,181.18,89.36,242.26,2.76
"143487 (2003 CR20)",0.7301,2.124,4.99,177.06,88.83,329.95,3.1
"143624 (2003 HM16)",0.5773,1.967,35.54,195.84,47.18,262.55,2.76
"143637 (2003 LP6)",0.8838,1.746,43.57,144.48,260.69,67.54,2.31
"143649 (2003 QQ47)",0.1870,1.085,62.10,0.99,104.96,174.10,1.13
"143651 (2003 QO104)",0.5262,2.133,11.62,58.17,183.60,335.50,3.12
"143947 (2003 YQ117)",0.6545,2.182,21.03,217.49,135.73,225.85,3.22
"143992 (2004 AF)",0.5538,1.971,27.13,315.62,57.98,205.38,2.77
"144332 (2004 DV24)",0.2898,1.423,55.89,171.13,186.41,206.42,1.7
"144411 (2004 EW9)",0.5338,1.917,8.79,288.79,8.19,219.83,2.65
"144861 (2004 LA12)",0.7491,2.509,39.40,159.19,199.49,346.90,3.98
"144898 (2004 VD17)",0.5886,1.508,4.22,223.98,90.98,306.24,1.85
"144901 (2004 WG1)",0.5220,1.64,13.04,41.98,232.48,271.07,2.1
"152560 (1991 BN)",0.3979,1.443,3.45,268.81,80.99,256.49,1.73
"152561 (1991 RB)",0.4857,1.454,19.58,359.29,68.96,279.78,1.75
"152564 (1992 HF)",0.5617,1.391,13.32,213.37,128.34,228.17,1.64
"152664 (1998 FW4)",0.7143,2.525,3.42,353.60,85.47,264.00,4.01
"152667 (1998 FR11)",0.7067,2.809,6.67,129.85,158.56,208.78,4.71
"152671 (1998 HL3)",0.3659,1.129,2.68,163.64,188.16,286.27,1.2
"152679 (1998 KU2)",0.5524,2.251,4.93,205.72,120.32,262.32,3.38
"152680 (1998 KJ9)",0.6396,1.448,10.93,98.54,260.12,16.67,1.74
"152685 (1998 MZ)",0.5729,1.346,0.15,122.28,39.24,349.07,1.56
"152754 (1999 GS6)",0.4974,1.191,2.02,314.42,134.97,283.40,1.3
"152756 (1999 JV3)",0.4149,1.451,15.23,229.02,101.59,148.48,1.75
"152770 (1999 RR28)",0.6542,1.879,7.14,178.16,284.58,231.90,2.57
"152828 (1999 VT25)",0.5231,1.162,5.15,221.94,319.24,253.70,1.25
"152889 (2000 CF59)",0.6409,1.679,41.55,141.75,222.47,173.00,2.18
"152941 (2000 FM10)",0.6808,1.481,8.73,18.52,343.99,81.82,1.8
"152964 (2000 GP82)",0.3934,1.397,13.23,114.86,333.08,22.31,1.65
"152978 (2000 GJ147)",0.2367,1.162,25.01,57.85,240.80,134.02,1.25
"153002 (2000 JG5)",0.7961,1.341,31.43,213.04,233.45,307.51,1.55
"153195 (2000 WB1)",0.6190,1.301,41.11,21.38,262.90,99.60,1.48
"153220 (2000 YN29)",0.6683,2.542,6.23,64.22,142.59,288.37,4.05
"153243 (2001 AU47)",0.5306,1.299,35.97,311.90,9.39,89.81,1.48
"153249 (2001 BW15)",0.5905,2.118,41.24,328.82,298.00,174.90,3.08
"153267 (2001 CB32)",0.6140,1.781,9.68,75.53,330.53,7.70,2.38
"153271 (2001 CL42)",0.4026,1.557,21.65,12.04,270.82,339.35,1.94
"153311 (2001 MG1)",0.6459,2.502,28.40,142.33,218.52,304.13,3.96
"153315 (2001 NH6)",0.4496,1.237,34.70,112.53,288.41,248.58,1.38
"153349 (2001 PJ9)",0.6382,1.8,10.55,283.61,291.42,257.58,2.42
"153460 (2001 RN)",0.5814,1.414,10.09,211.44,30.44,307.33,1.68
"153792 (2001 VH75)",0.7426,2.099,10.48,274.54,246.11,153.29,3.04
"153814 (2001 WN5)",0.4670,1.712,1.92,277.35,44.67,110.47,2.24
"153953 (2002 AD9)",0.8089,1.773,31.01,2.57,9.80,262.64,2.36
"153957 (2002 AB29)",0.7589,2.532,46.54,89.72,73.16,221.10,4.03
"153958 (2002 AM31)",0.4515,1.703,4.64,144.37,197.96,166.89,2.22
"154019 (2002 CZ9)",0.3601,1.325,4.97,142.84,80.88,264.53,1.53
"154020 (2002 CA10)",0.5897,1.541,12.12,145.32,222.22,7.00,1.91
"154029 (2002 CY46)",0.4623,1.89,44.19,346.14,319.41,170.93,2.6
"154035 (2002 CV59)",0.5320,1.21,49.06,13.09,347.15,224.38,1.33
"154229 (2002 JN97)",0.7187,1.851,10.09,67.63,341.66,359.47,2.52
"154268 (2002 RM129)",0.4650,1.511,14.57,132.65,357.56,221.79,1.86
"154269 (2002 SM)",0.4865,1.872,14.40,10.78,217.51,300.04,2.56
"154275 (2002 SR41)",0.4907,1.084,11.58,247.77,258.20,119.73,1.13
"154276 (2002 SY50)",0.6888,1.704,8.75,34.03,99.68,288.08,2.23
"154278 (2002 TB9)",0.5916,1.804,29.76,196.23,322.67,306.51,2.42
"154300 (2002 UO)",0.4726,1.209,8.29,90.66,184.24,252.90,1.33
